business_type,related_region_id,latitude,longitude,access_type,wband_rate,action_type,gatewayType,accept_date,related_worker_id
0.0,0.0005842486562280906,0.4179085557542484,0.8863199421910836,0.0,0.1,0.0,0.0,1520575298.0,9638.0
0.16666666666666666,0.0005842486562280906,0.417104206529141,0.8871545368032059,0.0,0.1,0.0,0.16666666666666666,1528700400.0,9638.0
0.16666666666666666,0.0005842486562280906,0.4162210146920632,0.8873100474510266,0.0,0.1,0.0,0.16666666666666666,1529132095.0,9638.0
0.0,0.0005842486562280906,0.4167009674193694,0.8880232440233158,0.0,0.1,0.0,0.0,1523155279.0,9638.0
0.0,0.0005842486562280906,0.4172988410215209,0.8866586047871693,0.0,0.1,0.0,0.0,1526788425.0,9638.0
0.0,0.0005842486562280906,0.4173608730646902,0.8872848547381962,0.0,0.1,0.2,0.3333333333333333,1516263119.0,9638.0
0.0,0.0005842486562280906,0.4173584983139165,0.8871411933961101,0.0,0.1,0.2,0.3333333333333333,1520828596.0,9638.0
0.0,0.0005842486562280906,0.4184512052782132,0.8849481933924691,0.0,0.02,0.2,0.3333333333333333,1524278293.0,9638.0
0.0,0.0005842486562280906,0.41728242801287696,0.8866096046732096,0.0,0.1,0.0,0.0,1524962768.0,9638.0
0.16666666666666666,0.0005842486562280906,0.41714949667940004,0.8863686555197585,0.0,0.1,0.0,0.16666666666666666,1528157407.0,9638.0
0.0,0.0005842486562280906,0.41724433630787866,0.8873491541216391,0.0,0.1,0.6,0.3333333333333333,1515391980.0,9638.0
0.0,0.0005842486562280906,0.4175262840819833,0.8873175151133296,0.0,0.1,0.4,0.0,1514266155.0,9638.0
0.0,0.0005842486562280906,0.4171873313277008,0.8873345800527702,0.0,0.1,0.0,0.0,1519885747.0,9638.0
0.0,0.0005842486562280906,0.4176337388758865,0.8853584149114735,0.0,0.1,0.0,0.0,1526775453.0,9638.0
0.0,0.0005842486562280906,0.4167009674193694,0.8880232440233158,0.0,0.1,0.0,0.0,1523154429.0,9638.0
0.0,0.0005842486562280906,0.41724264498958297,0.8864056476087319,0.0,0.1,0.0,0.0,1525747503.0,9638.0
0.0,0.0005842486562280906,0.4170956534201005,0.8873262687404062,0.0,0.1,0.0,0.0,1520831351.0,9638.0
0.0,0.0005842486562280906,0.4169695888713368,0.8873795047250683,0.0,0.1,0.0,0.0,1526367945.0,9638.0
0.0,0.0005842486562280906,0.417298508228865,0.8865463610911324,0.0,0.1,0.0,0.0,1526522587.0,9638.0
0.0,0.0005842486562280906,0.4176689257735857,0.8872467917406789,0.0,0.1,0.0,0.0,1523234486.0,9638.0
0.0,0.0005842486562280906,0.4176181587256153,0.8879057323140752,0.0,0.1,0.2,0.3333333333333333,1519958086.0,9638.0
0.0,0.0005842486562280906,0.4173627350711641,0.8867506521646088,0.0,0.1,0.0,0.0,1517296884.0,9638.0
0.16666666666666666,0.0005842486562280906,0.4168575680802337,0.8872720197015646,0.0,0.1,0.0,0.16666666666666666,1529478196.0,9638.0
0.0,0.0005842486562280906,0.4176318380365098,0.8857951392733184,0.0,0.1,0.0,0.0,1525840319.0,9638.0
0.0,0.0005842486562280906,0.4176469912168796,0.8870301268947056,0.0,0.1,0.2,0.3333333333333333,1520330751.0,9638.0
0.0,0.0005842486562280906,0.4168057254581344,0.887883823708232,0.0,0.1,0.0,0.0,1524795684.0,9638.0
0.0,0.0005842486562280906,0.4186238001023032,0.8875519650256443,0.0,0.1,0.0,0.0,1523669578.0,9638.0
0.0,0.0005842486562280906,0.4169808360203306,0.8874257719973477,0.0,0.1,0.4,0.0,1514538392.0,9638.0
0.0,0.0005842486562280906,0.4172963554953239,0.8865382705859769,0.0,0.1,0.0,0.0,1526347855.0,9638.0
0.0,0.0005842486562280906,0.41761590750055416,0.8874969319130616,0.0,0.1,0.0,0.0,1519958207.0,9638.0
0.0,0.0005842486562280906,0.4169808360203306,0.8874257719973477,0.0,0.1,0.0,0.0,1526088217.0,9638.0
0.0,0.0005842486562280906,0.4173439060256852,0.8873613977937649,0.0,0.1,0.0,0.0,1526432918.0,9638.0
0.0,0.0005842486562280906,0.4168774455609484,0.8894971751021368,0.0,0.1,0.4,0.0,1514336699.0,9638.0
0.0,0.0005842486562280906,0.4172825663737983,0.8869072409484083,0.0,0.1,0.0,0.0,1527471947.0,9638.0
0.0,0.0005842486562280906,0.4181171849631236,0.8874292731950232,0.0,0.1,0.0,0.0,1526458910.0,9638.0
0.16666666666666666,0.0005842486562280906,0.4172523476065189,0.8873029794127828,0.0,0.1,0.0,0.16666666666666666,1529732177.0,9638.0
0.0,0.0005842486562280906,0.417284898651161,0.8863571149484654,0.0,0.1,0.0,0.0,1526345765.0,9638.0
0.0,0.0005842486562280906,0.4157398809593279,0.8872297405330473,0.0,0.2,0.0,0.0,1527727958.0,9638.0
0.0,0.0005842486562280906,0.4177210220434848,0.8872510355567821,0.0,0.1,0.2,0.3333333333333333,1517986557.0,9638.0
0.0,0.0005842486562280906,0.41729581672925503,0.8865235923755603,0.0,0.2,0.0,0.0,1525142034.0,9638.0
0.16666666666666666,0.0005842486562280906,0.4176737246660461,0.8871064884170524,0.0,0.1,0.0,0.16666666666666666,1528594814.0,9638.0
0.0,0.0005842486562280906,0.4161948492371527,0.8866258454246848,0.0,0.1,0.0,0.0,1526635366.0,9638.0
0.0,0.0005842486562280906,0.41809175047270697,0.8879313196965123,0.0,0.1,0.0,0.0,1527380730.0,9638.0
0.0,0.0005842486562280906,0.4171966736748579,0.8863349252280568,0.0,0.1,0.2,0.0,1530416291.0,9638.0
0.0,0.0005842486562280906,0.4168814780176071,0.8872503609025859,0.0,0.1,0.0,0.0,1521853284.0,9638.0
0.0,0.0005842486562280906,0.4172723446755867,0.8863573919592121,0.0,0.1,0.0,0.0,1524446261.0,9638.0
0.16666666666666666,0.0005842486562280906,0.4162210146920632,0.8873100474510266,0.0,0.1,0.0,0.16666666666666666,1529111391.0,9638.0
0.0,0.0005842486562280906,0.4171443909174095,0.8876088867443611,0.0,0.1,0.0,0.0,1518144444.0,9638.0
0.16666666666666666,0.0005842486562280906,0.41715034914949617,0.8876354407260401,0.0,0.1,0.0,0.16666666666666666,1529883665.0,9638.0
0.0,0.0005842486562280906,0.4180523929711214,0.8894216732241891,0.0,0.1,0.0,0.0,1519958154.0,9638.0
0.0,0.0005842486562280906,0.41728242801287696,0.8866096046732096,0.0,0.1,0.0,0.0,1519875275.0,9638.0
0.0,0.0005842486562280906,0.4183684593877812,0.8879019993277864,0.0,0.1,0.0,0.0,1519624474.0,9638.0
0.0,0.0005842486562280906,0.4177288625506124,0.8864174712095139,0.0,0.1,0.2,0.0,1527745948.0,9638.0
0.16666666666666666,0.0005842486562280906,0.4169695888713368,0.8873795047250683,0.0,0.1,0.0,0.16666666666666666,1528166543.0,9638.0
0.0,0.0005842486562280906,0.41373981956190936,0.8801193840947402,0.0,0.1,0.0,0.0,1525059797.0,9638.0
0.0,0.0005842486562280906,0.41471628418829176,0.8797044243977699,0.0,0.1,0.0,0.0,1526951958.0,9638.0
